Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Non-individual patient attributable,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,7.0315,,,1.0000,,1.0000,,9.0315,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2024,Pre 2003,,,,,,,1.2500,,,,,,,1.2500,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,6.3542,,,1.0000,,0.6670,,8.0212,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,7.3956,,,1.0000,,0.6700,,9.0656,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.8859,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,6.0939,,,1.0000,,1.0000,,8.0939,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,5.1565,,,0.5159,,3.7143,,9.3867,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2024,2003,,,,,,,6.2500,,,,,,,6.2500,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.3020,,,,,,,10.3020,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,6.3540,,,1.0837,,0.5834,,8.0211,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,Pre 2008,,,,,,,10.3542,,,,,,,10.3542,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2024,2003,,,,,,,2.5000,,,,,,,2.5000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2024,2003,,,,,,,2.5000,,,,,,,2.5000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,6.2500,,,0.8250,,0.8250,,7.9000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.8853,,,,,,,10.8853,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,1.0000,,,,,5.0001,,,1.0000,,1.0000,,8.0001,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2008,,,,,,,10.6776,,,7.4286,,,,18.1062,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.8859,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,Locum,,,,,,5.6251,,,1.5000,,1.5000,,8.6251,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,4.6876,,,1.0000,,1.0000,1.4063,8.0939,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2008,,,,,,,9.9376,,,,,,,9.9376,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,5.2081,,,1.0000,,0.6670,,6.8751,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2021,,,,,,,4.3750,,,,6.5104,,,10.8854,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,Locum,,,,,,8.1667,,,,,,,8.1667,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2024,2003,,,,,,,6.4480,,,,,,,6.4480,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,5.3123,,1.0417,1.0000,,0.6670,,8.0210,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2024,2003,,0.7291,,,1.2500,,1.6666,,2.5000,0.4127,,0.9286,1.8750,9.3620,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2024,2003,,1.2500,,,,,,,1.6250,,,,,2.8750,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2024,2003,,1.6000,0.8000,,0.4000,,1.5000,,1.6000,0.2063,,1.1349,,7.2412,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2024,Pre 2003,,2.0000,2.0000,,,,4.8750,,,0.1651,,1.3206,,10.3607,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2024,2003,Locum,1.6666,,,0.8333,,2.4999,,1.6666,,,1.3000,1.8750,9.8414,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2024,2003,,1.6666,,,0.8334,,2.4999,,1.6666,0.5000,,0.8000,1.8750,9.8415,
NEW: Planned Pathways Division ,Haematology,,SAS Doctor,Full time,01/04/2024,2008,,0.5000,0.8750,,1.0000,,,,3.2500,,,,3.3750,9.0000,
NEW: Planned Pathways Division ,Haematology,,Consultant,Full time,01/04/2024,2003,,2.0000,0.5000,,1.0000,,,,3.2500,,,2.0000,1.7500,10.5000,
NEW: Planned Pathways Division ,Haematology,,Consultant,Full time,01/04/2024,2003,,2.0000,0.6250,,0.8750,,,,3.5000,,,2.0000,1.5000,10.5000,
NEW: Planned Pathways Division ,Haematology,,Consultant,Full time,01/04/2024,2003,,2.1250,0.8750,,0.7500,,,,3.2500,2.0000,,,1.5000,10.5000,
NEW: Planned Pathways Division ,Haematology,,SAS Doctor,Full time,01/04/2024,2008,,0.8750,1.0000,,0.5000,,,,3.2500,,,,3.3750,9.0000,
NEW: Planned Pathways Division ,Haematology,,Consultant,Full time,01/04/2024,2003,,1.6250,0.5000,,1.2500,,,,3.6250,,,2.0000,1.5000,10.5000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,SAS Doctor,Full time,01/04/2024,2021,,1.2500,,,0.2500,,2.2500,,5.0000,2.0000,,,,10.7500,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,SAS Doctor,Full time,01/04/2024,2021,,1.2500,,,0.2500,,2.5000,,5.0000,2.0000,,,,11.0000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,Consultant,Full time,01/04/2024,Pre 2003,,1.0000,,,0.2500,,3.3750,,3.0000,1.0000,,,,8.6250,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.3750,,2.5000,,4.0938,1.0000,,,,8.9688,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,SAS Doctor,Full time,26/07/2023,2021,,1.0000,,,0.2500,,2.2500,,5.0000,,,,,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.2500,,2.5000,,3.0000,1.0000,,,,7.7500,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.5000,,3.7500,,3.0000,,,,0.2500,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2024,2003,,0.3095,0.0938,,0.5000,,3.8750,,2.6250,1.0000,,,0.5000,8.9033,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2024,2021,,,,,0.2500,,1.8750,,1.5000,,,,,3.6250,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2024,2008,,,,,,,1.8750,,5.1250,,,,,7.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2020,2003,,,,,0.5000,,3.7500,,3.7500,,,,0.2500,8.2500,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.7500,,4.2500,,2.7500,,,,1.0000,9.7500,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2024,Pre 2008,,0.1875,,,,,1.2500,,3.3125,2.0000,,,0.2500,7.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2024,2003,,0.0938,0.3125,,0.2188,,4.5315,,3.7502,1.0000,,,0.5938,10.5006,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2024,Pre 2008,,,,,,,1.2500,,1.3750,,,,2.5000,5.1250,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,1.1250,,,,,3.1250,,3.0000,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,0.6250,,,,,3.4237,,3.4583,,,0.7500,0.2501,8.5071,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/11/2023,2003,,1.1250,,,,,3.1250,,3.0000,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.1250,,3.1250,,3.0000,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,0.8750,,,0.2500,,3.1250,,3.1250,,,0.7500,0.3750,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,1.2500,,,,,3.1250,,3.0000,,,1.0000,0.1250,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,0.3750,,,,,3.7500,,3.0000,,,0.7500,0.8750,8.7500,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,0.5000,0.0625,,0.2500,,3.3750,,3.0000,,,1.0000,0.3125,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,1.1250,,,,,3.0625,,3.0000,,,,0.3125,7.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,0.6250,,,0.0625,,3.9375,,3.3125,0.7500,,,0.3125,9.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/06/2021,2003,,0.8750,,,,,3.1250,,3.0000,,,1.0000,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2024,2003,,0.8438,,,,,3.0625,,3.0001,,,1.0000,0.3125,8.2189,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,SAS Doctor,Full time,01/04/2024,2021,,6.0834,,,,,,,4.7500,,,,1.0000,11.8334,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,Consultant,Full time,01/04/2024,Pre 2003,,3.7188,,,,,,,4.9375,,,,0.7813,9.4376,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,SAS Doctor,Full time,01/04/2024,2021,,1.3750,,,,,,,4.6250,,,,3.0000,9.0000,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2024,2021,,0.5000,0.8750,,0.3750,,1.2500,,6.4375,,,,,9.4375,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,2003,,1.0002,,,1.1250,,2.9569,0.7738,2.0759,1.1500,,0.3500,1.0238,10.4556,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,2003,,1.0313,,,0.5045,,2.1875,0.7738,2.8572,1.1500,,0.3500,1.0358,9.8901,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,2003,,0.7500,0.8751,,,,2.1131,0.7738,1.7481,1.1500,,0.3500,1.0391,8.7992,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2024,2008,,0.2727,,,0.2045,,,7.5741,,,3.8863,,,11.9376,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2024,2008,,,,,,,2.3750,,4.5000,,,,1.7500,8.6250,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2024,2021,,2.3750,,,0.3750,,2.3125,,4.3750,,,,,9.4375,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,2003,,1.0001,,,0.3750,,2.3438,0.6250,2.4844,1.1500,,0.3500,1.0000,9.3283,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,2003,,0.7954,0.5488,,0.2657,,3.0496,1.9346,0.8003,1.1500,,0.3500,0.5082,9.4026,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,Pre 2003,,1.0000,,,0.2500,,1.0000,2.5000,1.0625,,,,1.5000,7.3125,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2024,2008,,1.0625,,,0.3594,,1.4375,2.1875,1.4063,1.0000,,0.5000,0.5625,8.5157,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,2003,,,,,0.6719,,2.6250,0.7969,1.2188,1.1250,,0.3750,0.8516,7.6642,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2024,2003,Locum,0.8750,1.1250,,0.4531,,2.1875,0.6250,1.8438,1.0000,,0.5000,1.1564,9.7658,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Part time,01/04/2024,2003,,1.0629,0.6250,,0.4085,,1.0719,0.4450,0.8125,,,,0.5767,5.0025,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Part time,01/04/2024,2003,,0.7708,0.6250,,0.6250,,1.2500,,0.5000,,,,0.6250,4.3958,
NEW: Planned Pathways Division ,Surgery,Urology,SAS Doctor,Full time,01/04/2024,2008,,1.0000,,,2.8125,,2.0000,,2.0000,,4.2166,0.4000,,12.4291,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2024,2003,,1.2500,,,,,2.5000,,2.0000,1.1000,,0.4000,1.2500,8.5000,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2024,2003,,2.0000,1.0000,,1.1250,,2.5000,,1.0000,1.1500,,0.3500,,9.1250,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2024,2003,,1.0000,,,1.6250,,1.2500,,3.1250,1.1500,,0.3500,1.0000,9.5000,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2024,2003,,,,,2.2222,,2.5000,,2.7500,0.7428,,0.3301,1.0000,9.5451,
