Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Non-individual patient attributable,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,SAS Doctor,Full time,01/04/2024,2021,,1.5000,,,0.9688,,,,4.0000,,,,1.9375,8.4063,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2024,2003,,1.0313,,,0.9688,,,,0.2500,,,,3.9063,6.1564,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,SAS Doctor,Full time,01/04/2024,2008,,1.8125,,,1.7813,,,,0.5000,,,,4.3125,8.4063,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2024,2003,Locum,2.3126,,,1.8125,,,,0.8750,,,,3.5000,8.5001,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,SAS Doctor,Full time,01/04/2024,2021,,2.6250,,,1.8438,,,,,,,,3.9375,8.4063,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2024,2003,,3.0001,,,1.9375,,,,0.5000,0.7000,,,3.0000,9.1376,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2024,2003,,1.0000,,,1.0000,,,,0.5625,,,,3.9375,6.5000,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2024,2003,Locum,1.8126,,,0.5000,,,,1.0000,,,,4.6875,8.0001,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2024,2003,,2.0938,,,1.5000,,,,,,,,4.6250,8.2188,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,SAS Doctor,Full time,01/04/2024,2021,,2.5000,,,1.8438,,,,,,,,4.1875,8.5313,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,General Medicine,Consultant,Full time,01/04/2024,2003,Locum,2.0001,,1.7500,,,,,,1.0000,,,4.6563,9.4064,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,General Medicine,Consultant,Full time,01/04/2024,2003,,1.0000,,4.0000,,,,,,,,,,5.0000,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,General Medicine,Consultant,Full time,01/04/2024,2003,,2.0000,,1.7500,,,,,,1.0000,,,4.6563,9.4063,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Palliative Care,Consultant,Full time,14/07/2023,2003,,1.3750,,,0.6250,,,,,,,,6.0938,8.0938,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2024,2008,,1.1500,0.9750,,0.2000,,,,2.7000,2.0000,,,5.3000,12.3250,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2024,2021,,1.1250,0.3750,,0.1250,,0.3750,,3.4688,,,,3.9376,9.4064,
