Directorate,Department,Specialty,Team,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Travelling time,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,,Consultant,Part time,01/04/2025,2003,,1.2500,,,0.2500,,,4.0000,,,,,1.0000,6.5000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,,Consultant,Part time,01/04/2025,2003,,0.8750,,,,,,3.0000,,,,,1.0157,4.8907,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,,Consultant,Part time,01/04/2025,2003,,,,,,,,3.0000,,,,,2.0000,5.0000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,,Consultant,Full time,01/04/2025,2003,,1.7917,,,0.2580,0.3750,,3.0000,,,,,2.3750,7.7997,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,,Consultant,Full time,01/04/2025,2003,,2.4534,,,1.6251,,,2.1250,,,,,2.4375,8.6410,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,,Consultant,Part time,01/04/2024,2003,Locum,2.6667,,,0.2500,0.3542,0.6250,1.7500,2.0000,,,,1.8750,9.5209,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,,Consultant,Full time,01/04/2025,2003,,1.5629,0.5000,,1.0000,0.3334,,2.0208,,,0.1458,,2.5831,8.1460,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,,Consultant,Full time,01/04/2025,2003,,3.5628,0.6874,,0.8750,0.2916,,1.8750,,,,,1.8335,9.1253,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,,Consultant,Full time,01/04/2025,2003,,3.4790,,,0.5000,0.3334,,1.8750,2.0000,,,,2.0415,10.2289,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,,,,,,,,,,,,9.3893,9.3893,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,,,,,,,,,,,,9.3893,9.3893,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,03/02/2025,2003,,,,,,,,,,,,,9.3893,9.3893,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,,,,,,,,,,,,9.3893,9.3893,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,0.5000,,,,,,,,,,,4.0158,4.5158,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,,,,,,,,,,,,5.6250,5.6250,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.0000,9.0000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,0.1252,,,,,,,,,,,9.1467,9.2719,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,,,,,,,,,,,,9.3893,9.3893,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,,,,,,,,,,,,9.3893,9.3893,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,,Consultant,Full time,01/04/2025,2003,,,,,,,,,,,,,9.3893,9.3893,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,02/04/2024,2003,,0.5000,0.7448,,,,,,0.0573,,,0.7222,5.4759,7.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.5833,0.7448,,,,,,,,,,5.1634,6.4915,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.7224,9.7224,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.6355,0.8333,,,,,,,,,,6.0365,7.5053,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.5000,0.7448,,,,,,,,,,5.4759,6.7207,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.6666,0.7448,,,,,,,,,,4.8093,6.2207,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2021,,,,,,,,,,,,,9.9771,9.9771,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.9228,0.6153,,,,,,0.1250,,,2.0000,3.8240,7.4871,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.1024,0.6167,,,,,,,,,,2.7309,3.4500,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.5000,0.7448,,,,,,,,,,5.4759,6.7207,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.5001,0.7500,,,,,,,,,,5.8773,7.1274,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Part time,01/04/2025,2021,,,,,,,,,,,,,5.0141,5.0141,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,0.5000,0.6771,,,,,,,,,,5.5447,6.7218,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,Consultant,Full time,01/04/2025,2003,,,,,,,,,4.0070,,,1.1250,4.5481,9.6801,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Part time,01/04/2025,2021,,,,,,,,,,,,,5.0141,5.0141,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,,SAS Doctor,Full time,01/04/2025,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,,Consultant,Part time,01/04/2025,2003,,,,,1.2500,1.0000,,2.0000,,,,,0.1250,4.3750,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,,Consultant,Full time,01/04/2025,2003,,1.2500,1.8214,,1.3438,,,4.0000,0.1970,,,0.0470,,8.6592,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,,Consultant,Full time,01/04/2025,2003,,2.0000,,,1.0000,,,3.0000,,,,,0.5000,6.5000,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,,Consultant,Full time,01/04/2025,2003,,1.0000,1.2500,,1.8125,,,3.4375,0.1970,,,0.0470,0.5000,8.2440,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,,Consultant,Full time,01/04/2025,2003,,1.8750,,,1.6250,,,3.8750,,,,,1.2500,8.6250,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,,SAS Doctor,Part time,01/04/2025,2008,,0.5000,,,1.2500,,,5.3750,,,,,0.5000,7.6250,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,13/01/2025,2003,,,,,,7.4221,,,1.0382,,,0.5417,,9.0020,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,,,,,,,10.8859,,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8853,,,,,,,,10.8853,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,11.0164,,,,,,,,11.0164,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2008,,,,,,11.0160,,,,,,,,11.0160,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,Locum,,,,,6.9534,,,1.0382,,,0.5417,,8.5333,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8859,,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2008,,,,,,10.7292,,,,,,,,10.7292,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8853,,,,,,,,10.8853,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2008,,,,,,10.0000,,,,,,,,10.0000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,13/01/2025,2003,,,,,,4.4535,,1.2500,1.5583,,,0.8130,,8.0748,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8859,,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,4.6877,,,1.5568,,,0.8122,,7.0567,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,11.4063,,,,,,,,11.4063,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2008,,,2.5000,,,8.7918,,,,,,,,11.2918,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,7.4221,,,1.0382,,,0.5417,,9.0020,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,6.4065,,,1.0382,,,0.5417,1.0156,9.0020,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Part time,01/04/2025,2003,,,,,,5.0000,,,,,,,,5.0000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,Locum,,,,,6.9793,,,1.5000,,,1.5000,,9.9793,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Part time,13/01/2025,2003,,,,,,2.4222,,,1.0382,,,0.5417,,4.0021,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,17/10/2024,2003,,0.3750,,,,4.0000,,,1.4574,,,1.0833,2.0105,8.9262,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,13/10/2024,2003,,,,,,6.5626,,,1.4574,,,1.0833,,9.1033,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Part time,13/01/2025,Pre 2003,,,,,,1.2500,,,,,,,,1.2500,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,7.4430,,,1.0382,,,0.5417,,9.0229,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8859,,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,5.4689,,,1.4574,,,1.0833,,8.0096,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2024,2003,,,,,,5.1565,,,0.5159,,,3.7143,,9.3867,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Part time,01/04/2025,2003,,,,,,6.2500,,,,,,,,6.2500,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8854,,,,,,,,10.8854,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,6.4847,,,1.0382,,,0.5417,,8.0646,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,Pre 2008,,,,,,10.3125,,,,,,,,10.3125,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Part time,01/04/2025,2003,,,,,,2.5000,,,,,,,,2.5000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Part time,01/04/2025,2003,,,,,,2.5000,,,,,,,,2.5000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,13/01/2025,2003,,,,,,5.6252,,,1.5568,,,0.8122,,7.9942,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8856,,,,,,,,10.8856,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,1.1250,,,,4.3751,,,1.4589,,,1.0841,,8.0431,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2008,,,,,,11.0162,,,,,,,,11.0162,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2021,,,,,,10.8859,,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,Locum,,,,,5.6251,,,1.5000,,,1.5000,,8.6251,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,13/10/2024,2003,,,,,,4.0626,,,1.4574,,,1.0833,1.4063,8.0096,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2008,,,,,,11.0157,,,,,,,,11.0157,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,SAS Doctor,Full time,01/04/2025,2008,,,,,,9.9376,,,,,,,,9.9376,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,4.9222,,,1.0382,,,0.5417,,6.5021,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,Locum,,,,,6.4846,,,1.0382,,,0.5417,,8.0645,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Part time,01/04/2025,2003,,,,,,5.0000,,,,,,,,5.0000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,,Consultant,Full time,01/04/2025,2003,,,,,,4.2190,,1.4844,1.5583,,,0.8130,,8.0747,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,,Consultant,Full time,01/04/2025,2003,,1.7502,0.6563,,0.4375,1.7500,,1.7500,2.3000,,,,1.4899,10.1339,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,,SAS Doctor,Full time,06/09/2024,2021,,1.5000,0.8750,,0.2500,2.8750,,2.6250,2.6000,,,,1.1565,11.8815,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,,Consultant,Full time,01/04/2025,2003,,1.5000,,,0.5000,,,2.0000,,,,,,4.0000,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,,Consultant,Full time,01/04/2025,2003,,1.4219,,,0.4375,1.7500,,1.7500,2.3000,,,,1.4065,9.0659,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,,Consultant,Full time,01/04/2025,2003,Locum,1.7500,,,0.4375,2.6250,,1.7500,,,,2.3000,1.4065,10.2690,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,,Consultant,Full time,01/04/2025,2003,,1.3750,,,0.4375,0.8750,,0.8750,,,,2.3000,1.4899,7.3524,
NEW: Planned Pathways Division ,Haematology,,,SAS Doctor,Full time,01/04/2025,2008,,0.5000,0.8750,,1.0000,,,3.2500,,,,,3.3750,9.0000,
NEW: Planned Pathways Division ,Haematology,,,Consultant,Full time,01/04/2025,2003,,2.0000,0.5000,,1.0000,,,3.2500,,,,2.0000,1.7500,10.5000,
NEW: Planned Pathways Division ,Haematology,,,Consultant,Full time,01/04/2025,2003,,2.0000,0.6250,,0.8750,,,3.5000,,,,2.0000,1.5000,10.5000,
NEW: Planned Pathways Division ,Haematology,,,SAS Doctor,Full time,01/04/2025,2021,,0.6250,1.3750,,0.7500,,,3.2500,,,,,3.0000,9.0000,
NEW: Planned Pathways Division ,Haematology,,,Consultant,Full time,01/04/2025,2003,,2.1250,0.8750,,0.7500,,,3.2500,2.0000,,,,1.5000,10.5000,
NEW: Planned Pathways Division ,Haematology,,,SAS Doctor,Full time,01/04/2025,2008,,0.8750,1.0000,,0.5000,,,3.2500,,,,,3.3750,9.0000,
NEW: Planned Pathways Division ,Haematology,,,Consultant,Full time,01/04/2025,2003,,1.6250,0.5000,,1.2500,,,3.6250,,,,2.0000,1.5000,10.5000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,,SAS Doctor,Full time,01/04/2025,2021,,1.0000,,,0.2500,2.2500,,5.0000,2.0000,,,,,10.5000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,,SAS Doctor,Full time,01/04/2025,2021,,1.2500,,,0.2500,2.5000,,5.0000,2.0000,,,,,11.0000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,,Consultant,Full time,01/04/2025,Pre 2003,,1.0000,,,0.2500,3.3750,,3.0000,1.0000,,,,,8.6250,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,,Consultant,Full time,01/04/2025,2003,,1.2500,,,0.2500,2.2500,,4.1563,0.7394,,,0.4815,,9.1272,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,,Consultant,Full time,01/04/2025,2003,Locum,,1.0000,,0.2500,2.2500,,4.0000,0.7394,,,0.4815,0.2500,8.9709,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,Consultant,Full time,01/04/2025,2003,,0.3095,0.0938,,0.5000,3.8750,,2.6250,1.0000,,,,0.5000,8.9033,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,SAS Doctor,Part time,01/04/2025,2021,,,,,0.5000,1.8750,,2.2500,,,,,,4.6250,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,SAS Doctor,Part time,01/04/2025,2008,,,,,,1.8750,,5.1250,,,,,,7.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,Consultant,Full time,01/04/2020,2003,,,,,0.5000,3.7500,,3.7500,,,,,0.2500,8.2500,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,Consultant,Full time,01/04/2025,2003,,1.0000,,,0.8750,4.2500,,2.7500,,,,,1.0000,9.8750,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,SAS Doctor,Part time,01/04/2025,Pre 2008,,0.1875,,,,1.2500,,3.3125,2.0000,,,,0.2500,7.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,Consultant,Full time,01/04/2025,2003,,0.0938,0.3125,,0.4375,4.3752,,3.2345,1.0000,,,,0.3750,9.8285,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,,SAS Doctor,Part time,01/04/2025,Pre 2008,,,,,,1.2500,,1.3750,,,,,2.5000,5.1250,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,1.1250,,,0.1905,3.1250,,3.0000,,,,0.7500,0.5000,8.6905,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,02/09/2024,2003,,0.8693,,,,3.6971,,2.4546,,,,1.0000,0.4811,8.5021,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.6250,,,,3.4237,,3.4583,,,,0.7500,0.2501,8.5071,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.8750,,,0.1250,3.1250,,3.0000,,,,1.0000,0.3750,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,1.0000,,,0.1250,3.1250,,3.0000,,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.6250,,,0.1250,3.1250,,3.0000,1.0000,,,,0.6250,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.8750,,,0.2500,3.0000,,3.1250,,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,1.2500,,,,3.1250,,3.0000,,,,1.0000,0.1250,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.3750,,,,3.7500,,3.0000,,,,0.7500,0.8750,8.7500,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.5000,0.0625,,0.2500,3.3750,,3.0000,,,,1.0000,0.3125,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,1.1980,,,,3.2500,,3.0000,,,,,0.3125,7.7605,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.6250,,,0.0625,3.9375,,3.3125,0.7500,,,,0.3125,9.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/06/2021,2003,,0.8750,,,,3.1250,,3.0000,,,,1.0000,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,,Consultant,Full time,01/04/2025,2003,,0.8438,,,,3.0625,,3.0001,,,,1.0000,0.3125,8.2189,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,,SAS Doctor,Full time,04/12/2024,2021,,4.1874,,,,,,5.8750,,,,,0.7500,10.8124,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,,Consultant,Full time,05/12/2024,Pre 2003,,3.7188,,,,,,4.9375,,,,,0.7813,9.4376,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,,Consultant,Part time,05/12/2024,2003,,2.2500,,,,,,2.0000,,,,,,4.2500,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,,SAS Doctor,Full time,04/12/2024,2021,,4.7499,,,,,,4.7500,,,,,1.0000,10.4999,
NEW: Planned Pathways Division ,MSK and ENT ,Rheumatology,,SAS Doctor,Full time,04/12/2024,2021,,3.7499,,,,,,4.7500,,,,,2.0000,10.4999,
NEW: Planned Pathways Division ,Surgery,General Surgery,,SAS Doctor,Full time,01/04/2025,2021,,0.5000,0.8750,,0.3750,1.2500,,6.4375,,,,,,9.4375,
NEW: Planned Pathways Division ,Surgery,General Surgery,,Consultant,Full time,01/04/2025,2003,,1.0002,,,1.1250,2.9569,0.7738,2.0759,1.1500,,,0.3500,1.0863,10.5181,
NEW: Planned Pathways Division ,Surgery,General Surgery,,Consultant,Full time,01/04/2025,2003,,1.0313,,,0.5045,2.1875,0.7738,2.8572,1.1500,,,0.3500,1.0358,9.8901,
NEW: Planned Pathways Division ,Surgery,General Surgery,,Consultant,Full time,01/04/2025,2003,,0.8125,0.7813,,,2.1131,0.7738,1.9981,1.1500,,,0.3500,1.0391,9.0179,
NEW: Planned Pathways Division ,Surgery,General Surgery,,SAS Doctor,Full time,01/04/2025,2008,,0.2727,,,0.2045,,7.5741,,,3.8863,,,,11.9376,
NEW: Planned Pathways Division ,Surgery,General Surgery,,SAS Doctor,Full time,01/04/2025,2008,,,,,,2.3750,,4.5000,,,,,1.7500,8.6250,
