Directorate,Department,Specialty,Team,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Travelling time,Unpredictable Emergency Work,Ward rounds,Total,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,SAS Doctor,Full time,01/04/2025,Pre 2008,,1.0000,,,0.2500,,,5.7500,,,,,,7.0000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,SAS Doctor,Full time,01/04/2025,2021,,0.7500,,,,1.0000,,6.7500,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,Consultant,Full time,01/04/2025,2003,,1.0000,,,0.2500,1.2500,,5.9931,,,,,,8.4931,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,Consultant,Full time,01/04/2025,2003,Locum,1.0000,4.8750,,0.2500,1.8750,,,,,,,,8.0000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,SAS Doctor,Full time,01/04/2025,2021,,1.0000,2.0000,,0.5000,1.2500,,4.7500,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,Consultant,Full time,01/04/2025,Pre 2003,,1.0000,,,0.2500,1.2500,,4.0000,,,,,,6.5000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,SAS Doctor,Full time,01/04/2025,2021,,1.0000,5.7500,,,1.2500,,1.0000,,,,,,9.0000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,Consultant,Part time,01/04/2025,2003,,0.2500,0.7500,,0.2500,0.6250,,1.2500,,,,,,3.1250,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,Consultant,Full time,01/04/2025,2003,,1.0000,,,0.2500,2.9166,,4.5000,,,,,,8.6666,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,Consultant,Part time,01/04/2023,2003,,1.0000,,,0.2500,1.2500,,3.0000,,,,,,5.5000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,SAS Doctor,Full time,01/06/2021,2008,,,,,,,,2.0000,,,,,,2.0000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,,Consultant,Full time,01/04/2025,2003,Locum,1.0000,3.7500,,0.2500,1.8750,,,,,,,,6.8750,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,,Consultant,Full time,01/04/2025,2003,,1.0000,,,1.2500,2.6250,,2.6250,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,,SAS Doctor,Full time,01/04/2025,2021,,1.1250,,,1.2500,2.6250,,2.5000,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,,SAS Doctor,Full time,01/04/2025,2008,,1.0000,,,1.2500,2.6250,,3.6250,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,,SAS Doctor,Full time,01/04/2025,Pre 2008,,1.0000,,,1.2500,3.1488,,3.1250,,,,,,8.5238,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,,SAS Doctor,Full time,01/04/2025,2021,,1.1250,,,1.2500,3.1875,,2.9375,,,,,,8.5000,
