Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2021,,,,,2.8125,,,1.0000,6.6770,1.0000,,11.4895,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,5.6251,,,1.0000,,1.0000,,7.6251,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2022,2008,,,,,2.9060,,,,,,5.0000,7.9060,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,7.0000,,,0.5000,,0.5000,,8.0000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2021,,,,,11.4799,,,,,,,11.4799,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,Pre 2008,,,,,10.3542,,,,,,,10.3542,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2023,2003,,,,,2.5000,,,,,,,2.5000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,7.5422,,,,,,,7.5422,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,7.3959,,,0.8250,,0.8250,,9.0459,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,1.0000,,,5.0001,,,1.0000,,1.0000,,8.0001,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2008,,,,,6.2500,,,7.4286,,,,13.6786,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,4.3751,,,1.0000,,1.0000,1.4063,7.7814,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2008,,,,,10.0000,,,,,,,10.0000,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2021,,,,,4.3750,,,,6.5104,,,10.8854,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Part time,01/04/2023,2003,,,,,4.7915,,,1.0000,,0.6700,,6.4615,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2023,2003,,1.6666,,1.2500,1.6666,,1.5625,0.2063,,1.1349,1.8750,9.3619,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2023,2003,,1.3750,,0.5000,1.0000,,1.6250,,,,,4.5000,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2023,2003,,1.6000,0.8000,0.4000,1.5000,,1.6000,0.2063,,1.1349,,7.2412,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2023,Pre 2003,,2.0000,2.0000,,4.8750,,,0.1651,,1.3206,,10.3607,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Part time,01/04/2023,2003,,,,,0.5000,,,,,,,0.5000,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2023,2003,Locum,0.8333,,0.8333,2.4999,,1.6666,,,1.3000,1.8750,9.0081,
NEW: Planned Pathways Division ,Digestive Services ,Gastroenterology,Consultant,Full time,01/04/2023,2003,,1.0952,,0.3333,1.3334,,2.3333,0.2063,,1.1349,1.8750,8.3114,
NEW: Planned Pathways Division ,Haematology,,SAS Doctor,Full time,01/04/2023,2008,,0.2500,,1.1250,,,4.7500,,,,2.8750,9.0000,
NEW: Planned Pathways Division ,Haematology,,Consultant,Full time,01/04/2022,2003,,1.2500,1.2500,0.8750,,,2.8750,,,2.0000,1.2500,9.5000,
NEW: Planned Pathways Division ,Haematology,,Consultant,Full time,01/04/2023,2003,,0.1250,,2.0000,,,5.6250,,,,1.2500,9.0000,
NEW: Planned Pathways Division ,Haematology,,SAS Doctor,Full time,01/04/2023,2008,,,,0.7500,,,5.0000,,,,3.2500,9.0000,
NEW: Planned Pathways Division ,Haematology,,Consultant,Full time,01/04/2023,2003,,1.0000,1.7500,0.5000,,,4.0000,,,2.0000,1.2500,10.5000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,SAS Doctor,Full time,01/04/2023,2021,,1.2500,,0.2500,2.5000,,5.0000,2.0000,,,,11.0000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,SAS Doctor,Full time,01/04/2023,2021,,1.2500,,0.2500,2.5000,,5.0000,2.0000,,,,11.0000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,Consultant,Full time,01/04/2023,2003,,1.0000,1.0000,0.2500,2.5000,,2.7500,1.0000,,,,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,Consultant,Full time,01/04/2023,Pre 2003,,1.2500,,0.2500,3.3750,,2.8750,1.0000,,,,8.7500,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,Consultant,Full time,01/06/2021,2003,,1.2500,,0.2500,2.5000,,5.0000,,,1.0000,,10.0000,
NEW: Planned Pathways Division ,MSK and ENT ,ENT,Consultant,Full time,01/04/2023,2003,,0.7500,,0.5000,5.0000,,4.0000,1.0000,,,,11.2500,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2023,2003,,,,0.5000,3.7500,,3.0000,1.0000,,,0.2500,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2023,2003,,0.3095,0.0938,0.5000,3.8750,,2.6250,1.0000,,,0.5000,8.9033,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2023,2008,,,,,,,,3.0000,,,,3.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2023,2008,,,,,1.8750,,5.1250,,,,,7.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2020,2003,,,,0.5000,3.7500,,3.7500,,,,0.2500,8.2500,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2023,2003,,,,0.2500,,,0.7500,,,,,1.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2023,Pre 2008,,0.1875,,,1.2500,,3.3125,2.0000,,,0.2500,7.0000,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,Consultant,Full time,01/04/2023,2003,,0.0938,0.1563,0.2188,4.6251,,3.8126,1.0000,,,0.5938,10.5004,
NEW: Planned Pathways Division ,MSK and ENT ,Oral Surgery,SAS Doctor,Part time,01/04/2023,Pre 2008,,,,,1.2500,,1.3750,,,,2.5000,5.1250,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,1.1250,,,3.1250,,3.0000,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,0.8750,,,3.4376,,3.2500,,,0.7500,0.1979,8.5105,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,1.0000,,0.1250,3.1250,,3.0000,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,1.1250,,,3.1250,,3.0000,,,0.7500,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,1.2500,,,3.1250,,3.0000,,,1.0000,0.1250,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,0.2500,,,3.7500,,3.2500,,,0.7500,0.8125,8.8125,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,0.5000,0.0625,0.2500,3.3750,,3.0000,,,1.0000,0.3125,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,1.1875,,,3.1250,,3.0000,,,0.7500,0.4375,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2022,2003,,0.3750,0.6250,0.1250,1.2500,,4.0000,,,0.7500,0.3750,7.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,0.4375,,0.5625,3.6250,,3.2500,0.7500,,,0.3125,8.9375,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,SAS Doctor,Full time,01/04/2023,2021,,0.2813,,,0.7813,,0.5000,,,0.7500,0.1251,2.4377,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Full time,01/04/2023,2003,,0.8750,,,3.1250,,3.0000,,,1.0000,0.5000,8.5000,
NEW: Planned Pathways Division ,MSK and ENT ,Orthopaedics,Consultant,Part time,01/04/2023,2003,,0.8438,,,1.8750,,1.5000,,,1.0000,0.3125,5.5313,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2023,2003,,1.0002,,1.1250,2.9569,0.7738,2.0759,1.1500,,0.3500,1.0238,10.4556,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2023,2003,,1.0000,,0.3795,2.1875,0.7738,2.1697,1.1500,,0.3500,1.0358,9.0463,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2023,2003,,0.7500,0.8751,,2.1131,0.7738,1.7481,1.1500,,0.3500,1.0391,8.7992,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2023,2008,,0.7272,,0.2045,,7.5741,,,4.3636,,,12.8694,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2023,2008,,,,,1.7500,,5.6250,,,,1.6250,9.0000,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2023,2021,,2.3750,,0.3750,2.3125,,4.3750,,,,,9.4375,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2023,2003,,1.0001,,0.3750,2.3438,0.6250,2.4844,1.1500,,0.3500,1.0000,9.3283,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2023,2003,,1.0657,0.5488,0.2657,3.2266,2.3216,0.8485,1.1500,,0.3500,0.4064,10.1833,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2023,Pre 2003,,1.0000,,0.2500,1.0000,2.5000,1.0625,,,,1.5000,7.3125,
NEW: Planned Pathways Division ,Surgery,General Surgery,SAS Doctor,Full time,01/04/2023,2008,,1.0625,,0.3594,1.4375,2.1875,1.4063,1.0000,,0.5000,0.5625,8.5157,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Full time,01/04/2023,2003,,,,0.6719,2.6250,0.7969,1.2188,1.1250,,0.3750,0.8516,7.6642,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Part time,01/04/2023,2003,,0.6485,0.6250,0.5960,1.2113,0.5231,1.0469,0.4250,,0.3250,0.6548,6.0556,
NEW: Planned Pathways Division ,Surgery,General Surgery,Consultant,Part time,01/04/2023,2003,,0.6986,0.5283,0.5960,1.1726,0.4741,0.4226,,,,0.6057,4.4979,
NEW: Planned Pathways Division ,Surgery,Urology,SAS Doctor,Full time,01/04/2023,2008,,1.0000,,2.8125,2.0000,,2.0000,,4.2166,0.4000,,12.4291,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2023,2003,,1.2500,,,2.5000,,2.0000,1.1000,,0.4000,1.2500,8.5000,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Part time,01/04/2023,2003,,0.5000,0.5000,,0.5000,,1.5000,,,,,3.0000,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2023,2003,,2.0000,1.0000,1.1250,2.5000,,1.0000,1.1500,,0.3500,,9.1250,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2023,2003,,1.0000,,1.1250,1.2500,,3.1250,1.1500,,0.3500,1.0000,9.0000,
NEW: Planned Pathways Division ,Surgery,Urology,Consultant,Full time,01/04/2023,2003,,,,2.2222,2.5000,,2.7500,0.7428,,0.3301,1.0000,9.5451,
z.Test,Rheumatology.,,SAS Doctor,Full time,01/04/2023,2021,,1.2500,,,,,4.7500,,,,3.0000,9.0000,
z.Test,Rheumatology.,,Consultant,Full time,01/04/2023,2003,,2.0938,,,,,5.6250,,,,1.5000,9.2188,
z.Test,Rheumatology.,,Consultant,Part time,01/04/2023,2003,,1.6250,,,,,3.0000,,,,0.3750,5.0000,
z.Test,Rheumatology.,,SAS Doctor,Full time,01/04/2023,2021,,1.3750,,,,,4.6250,,,,3.0000,9.0000,
