Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.2500,0.7500,,,,1.0000,,,,9.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Part time,01/04/2023,2003,,,3.1875,,,,,,,,,3.1875,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.7500,1.0000,,,,1.0000,,,,9.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.3750,1.2500,,,,1.0000,,,,8.6250,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.3750,0.3750,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.2500,1.2500,,,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.5000,1.2500,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.5000,1.2500,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,8.7500,0.2500,,,,1.0000,,,,10.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Part time,01/04/2023,2003,,,3.0000,1.0000,,,3.0000,,,,,7.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.0000,0.5000,,,,1.0000,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Part time,02/04/2022,2003,,,3.1250,0.1250,,,,,,,,3.2500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.5000,1.0000,,,,1.0000,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,5.5000,1.0000,,,1.0000,1.0000,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.7500,0.7500,,,,1.0000,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,0.2500,6.2500,,,,3.2500,,,1.0017,,10.7517,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,9.2500,0.2500,,,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,8.7500,0.7500,,,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,SAS Doctor,Part time,01/04/2023,2008,,,4.6875,,1.5000,,,,,,,6.1875,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,6.0000,0.5000,,,,,,,,6.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Part time,01/04/2023,2003,Locum,,5.0000,,,,,,,,,5.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,1.0000,5.5000,1.0000,,,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Part time,01/04/2023,2003,,,5.7188,0.2813,,,,,,,,6.0001,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,7.5000,2.0000,,,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,7.6250,1.8750,,,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,8.5000,,,,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,7.5000,,,,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,Locum,,8.5000,,,,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,2003,,,9.0000,,,,,1.0000,,,,10.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Part time,01/04/2022,2003,,,4.7620,0.3100,,,,,,1.0000,,6.0710,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2023,Pre 2003,,,5.2500,,,,,,,2.0000,,7.2500,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,13/12/2022,2003,,0.2142,0.4954,,0.4920,,2.5818,1.4832,,0.6534,2.0575,7.9775,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,13/12/2022,2003,Locum,0.2500,0.8231,,1.4821,,0.8571,1.4832,,0.6534,3.0682,8.6171,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,13/12/2022,2003,,0.4908,,0.2143,1.2500,,1.7340,1.4832,,0.6534,1.9210,7.7467,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/04/2023,2003,,0.5000,,,1.4076,,2.3878,1.4832,,0.6534,2.1017,8.5337,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/04/2023,2003,,0.5000,,0.2279,1.1416,,2.2628,1.4832,,0.6534,0.9950,7.2639,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/09/2020,2003,,0.3529,,1.5255,2.3010,,1.2351,0.8880,,0.5601,2.0903,8.9529,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/04/2023,2003,,1.0000,,0.0357,0.5357,,2.8610,1.4832,,0.6534,1.4105,7.9795,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,SAS Doctor,Full time,01/04/2023,Pre 2008,,0.5000,2.5000,0.5000,,,5.0625,,,,,8.5625,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/04/2023,2003,,0.5000,0.5000,2.2838,1.8393,,1.4919,1.4832,,0.6534,0.5882,9.3398,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Part time,01/04/2023,2003,,0.5000,,0.2500,0.2679,,1.2679,0.5820,,0.2840,0.8481,3.9999,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,13/12/2022,2003,,0.2500,,0.3750,1.5496,,1.3133,1.4832,,0.6534,2.2446,7.8691,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/04/2023,2003,,0.5000,,,0.5357,,1.9830,1.4832,,0.6534,2.1200,7.2753,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/04/2023,2003,,0.5000,0.8571,0.7500,0.8571,,1.2589,1.4832,,0.6534,1.5396,7.8993,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,SAS Doctor,Full time,01/04/2023,2008,,0.3571,,0.2500,1.4821,,3.4107,,,,,5.4999,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,Consultant,Full time,01/04/2023,2003,,0.5000,,2.8121,0.3571,,1.7955,1.5176,,0.6534,1.9423,9.5780,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,SAS Doctor,Full time,01/04/2023,2021,,,0.2500,,,,,,,,8.7500,9.0000,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2023,2003,,1.3125,,0.9688,,,0.2500,,,,4.0313,6.5626,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2023,2003,,1.2857,,0.5000,,,0.5625,,,,3.9375,6.2857,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Part time,01/04/2023,2003,,0.2500,,0.8750,,,1.7500,,,,4.1250,7.0000,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,Consultant,Full time,01/04/2023,2003,,1.5096,,1.3750,,,,,,,4.5000,7.3846,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Palliative Care,Consultant,Full time,01/04/2023,2003,,1.1250,,1.0000,1.0000,,1.2500,,,,5.1250,9.5000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2023,2008,,1.1500,0.9750,0.2000,,,2.7000,2.0000,,,5.3000,12.3250,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,Consultant,Full time,01/04/2023,2003,,1.9250,4.0000,0.5250,,,4.3250,,,,,10.7750,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2019,2008,,1.4000,1.9500,0.2000,,,3.6000,,,,1.4000,8.5500,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,Consultant,Full time,01/04/2023,2003,,2.4250,1.0000,0.6250,0.1250,,4.5000,0.5000,,,0.8125,9.9875,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2023,2021,,1.5938,0.2500,0.1250,,,3.5625,,,,3.4375,8.9688,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,Consultant,Part time,01/04/2023,Pre 2003,,0.3500,,,,,2.5250,,,,,2.8750,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,Consultant,Part time,01/04/2023,2003,,0.3750,3.0000,,,,,,,,1.3750,4.7500,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,Consultant,Full time,01/04/2023,2003,,,,,,,2.5000,,,,3.8125,6.3125,
