Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Director of Finance,258731,STRATEGY & PLANNING,Pay,Snr Managers,2025-12,,WTE,-5.65,"-£41,914.30",,,Finance,,Corporate Services,Senior Managers,Substantive,-5.65,
,Director of Finance,258731,STRATEGY & PLANNING,Pay,Admin & Clerical,2025-12,,WTE,-0.69,"-£2,565.86",,,Finance,,Corporate Services,Admin & Clerical Staff,Substantive,-0.69,
,Director of ICT,258732,EHR PROJECTS (REVENUE),Pay,Snr Managers,2025-12,,WTE,-0.50,"£1,336.48",,,IM&T,,Corporate Services,Senior Managers,Substantive,-0.50,
,Director of ICT,258732,EHR PROJECTS (REVENUE),Pay,Nursing,2025-12,,WTE,0.00,-£146.22,,,IM&T,,Corporate Services,Nursing & Midwifery Staff,Substantive,0.00,
,Director of ICT,258732,EHR PROJECTS (REVENUE),Pay,Admin & Clerical,2025-12,,WTE,-3.00,"-£12,361.52",,,IM&T,,Corporate Services,Admin & Clerical Staff,Substantive,-3.00,
,Chief Op Off,258733,INFORMATION,Pay,Snr Managers,2025-12,,WTE,-11.62,"-£72,291.93",,,Chief Op Off,,Corporate Services,Senior Managers,Substantive,-11.62,
,Chief Op Off,258733,INFORMATION,Pay,Admin & Clerical,2025-12,,WTE,-12.60,"-£49,102.13",,,Chief Op Off,,Corporate Services,Admin & Clerical Staff,Substantive,-12.60,
,Chief Op Off,258733,INFORMATION,Pay,Admin & Clerical,2025-12,,WTE,0.00,-£0.18,,,Chief Op Off,,Corporate Services,Admin & Clerical Staff,Bank,0.00,
,Director of ICT,258734,IT,Pay,Snr Managers,2025-12,,WTE,-25.95,"-£174,306.46",,,IM&T,,Corporate Services,Senior Managers,Substantive,-25.95,
,Director of ICT,258734,IT,Pay,Admin & Clerical,2025-12,,WTE,-21.33,"-£98,113.71",,,IM&T,,Corporate Services,Admin & Clerical Staff,Substantive,-21.33,
,Director of ICT,258734,IT,Pay,Admin & Clerical,2025-12,,WTE,-2.64,"-£25,552.13",,,IM&T,,Corporate Services,Admin & Clerical Staff,Bank,-2.64,
,Director of ICT,258735,CLINICAL CODING,Pay,Snr Managers,2025-12,,WTE,-0.91,"-£6,861.25",,,IM&T,,Corporate Services,Senior Managers,Substantive,-0.91,
,Director of ICT,258735,CLINICAL CODING,Pay,Admin & Clerical,2025-12,,WTE,-11.90,"-£43,255.26",,,IM&T,,Corporate Services,Admin & Clerical Staff,Substantive,-11.90,
,Director of ICT,258735,CLINICAL CODING,Pay,Admin & Clerical,2025-12,,WTE,-0.69,"-£4,744.21",,,IM&T,,Corporate Services,Admin & Clerical Staff,Bank,-0.69,
,Director of ICT,258736,IT - MANAGEMENT,Pay,Snr Managers,2025-12,,WTE,-2.00,"-£21,561.76",,,IM&T,,Corporate Services,Senior Managers,Substantive,-2.00,
,Director of ICT,258736,IT - MANAGEMENT,Pay,Medical,2025-12,,WTE,-0.80,"-£14,174.97",,,IM&T,,Corporate Services,Medical Staff,Substantive,-0.80,
,Director of ICT,258736,IT - MANAGEMENT,Pay,Nursing,2025-12,,WTE,-1.00,"-£10,626.30",,,IM&T,,Corporate Services,Nursing & Midwifery Staff,Substantive,-1.00,
,Director of Corporate Affairs,258737,INFORMATION GOVERNANCE,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£6,932.60",,,Director of Corporate Affairs,,Corporate Services,Senior Managers,Substantive,-1.00,
,Director of Corporate Affairs,258737,INFORMATION GOVERNANCE,Pay,Admin & Clerical,2025-12,,WTE,-1.13,"-£5,835.19",,,Director of Corporate Affairs,,Corporate Services,Admin & Clerical Staff,Substantive,-1.13,
,Director of People,258738,STAFF HEALTH,Pay,Nursing,2025-12,,WTE,-5.03,"-£22,956.92",,,Director of People,,Corporate Services,Nursing & Midwifery Staff,Substantive,-5.03,
,Director of People,258738,STAFF HEALTH,Pay,Admin & Clerical,2025-12,,WTE,-1.00,"-£3,352.02",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,-1.00,
,Director of People,258739,HUMAN RESOURCES,Pay,Snr Managers,2025-12,,WTE,-7.48,"-£58,260.12",,,Director of People,,Corporate Services,Senior Managers,Substantive,-7.48,
,Director of People,258739,HUMAN RESOURCES,Pay,Admin & Clerical,2025-12,,WTE,-4.39,"-£19,901.27",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,-4.39,
,Director of People,258739,HUMAN RESOURCES,Pay,Admin & Clerical,2025-12,,WTE,-0.73,"-£3,109.83",,,Director of People,,Corporate Services,Admin & Clerical Staff,Bank,-0.73,
,Director of People,258740,RECRUITMENT,Pay,Snr Managers,2025-12,,WTE,-2.00,"-£15,182.06",,,Director of People,,Corporate Services,Senior Managers,Substantive,-2.00,
,Director of People,258740,RECRUITMENT,Pay,Admin & Clerical,2025-12,,WTE,-6.90,"-£26,972.93",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,-6.90,
,Director of People,258740,RECRUITMENT,Pay,Admin & Clerical,2025-12,,WTE,-0.06,-£254.01,,,Director of People,,Corporate Services,Admin & Clerical Staff,Bank,-0.06,
,Director of People,258741,LEARNING & ORGANISATIONAL DEV,Pay,Snr Managers,2025-12,,WTE,-7.76,"-£53,194.76",,,Director of People,,Corporate Services,Senior Managers,Substantive,-7.76,
,Director of People,258741,LEARNING & ORGANISATIONAL DEV,Pay,Admin & Clerical,2025-12,,WTE,-9.07,"-£36,892.13",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,-9.07,
,Director of People,258743,E-ROSTERING,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£6,073.09",,,Director of People,,Corporate Services,Senior Managers,Substantive,-1.00,
,Director of People,258743,E-ROSTERING,Pay,Admin & Clerical,2025-12,,WTE,-2.00,"-£7,944.67",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,-2.00,
,Director of People,258745,MEDICAL RESOURCING,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£6,073.09",,,Director of People,,Corporate Services,Senior Managers,Substantive,-1.00,
,Chief Med Off,258746,RESUS TRAINING,Pay,Nursing,2025-12,,WTE,-5.00,"-£25,473.99",,,Chief Med Off,,Corporate Services,Nursing & Midwifery Staff,Substantive,-5.00,
,Chief Med Off,258746,RESUS TRAINING,Pay,Admin & Clerical,2025-12,,WTE,0.00,-£350.86,,,Chief Med Off,,Corporate Services,Admin & Clerical Staff,Bank,0.00,
,Director of People,258747,WORKFORCE INFORMATION,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£8,027.17",,,Director of People,,Corporate Services,Senior Managers,Substantive,-1.00,
,Director of People,258747,WORKFORCE INFORMATION,Pay,Admin & Clerical,2025-12,,WTE,-3.00,"-£10,506.14",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,-3.00,
,Director of People,258747,WORKFORCE INFORMATION,Pay,Admin & Clerical,2025-12,,WTE,-0.28,"-£1,397.65",,,Director of People,,Corporate Services,Admin & Clerical Staff,Bank,-0.28,
,Director of People,258748,UNION REP,Pay,Admin & Clerical,2025-12,,WTE,-0.68,"-£3,178.69",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,-0.68,
,Chief Nurse,258749,CHAPLAINS,Pay,"Scientific, Therapeutic & Tech",2025-12,,WTE,-3.10,"-£18,604.64",,,Chief Nurse,,Corporate Services,"Scientific, Therapeutic & Technical Staff",Substantive,-3.10,
,Chief Nurse,258749,CHAPLAINS,Pay,Admin & Clerical,2025-12,,WTE,-0.60,"-£1,596.85",,,Chief Nurse,,Corporate Services,Admin & Clerical Staff,Substantive,-0.60,
,Chief Op Off,258751,CHIEF OPERATING OFFICER,Pay,Snr Managers,2025-12,,WTE,-2.00,"-£22,373.07",,,Chief Op Off,,Corporate Services,Senior Managers,Substantive,-2.00,
,Chief Op Off,258751,CHIEF OPERATING OFFICER,Pay,Admin & Clerical,2025-12,,WTE,-0.80,"-£8,612.72",,,Chief Op Off,,Corporate Services,Admin & Clerical Staff,Bank,-0.80,
,Chief Op Off,258752,PERFORMANCE & PLANNING,Pay,Snr Managers,2025-12,,WTE,-3.00,"-£24,141.65",,,Chief Op Off,,Corporate Services,Senior Managers,Substantive,-3.00,
,Chief Nurse,258753,NURSING AND QUALITY,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£13,905.55",,,Chief Nurse,,Corporate Services,Senior Managers,Substantive,-1.00,
,Chief Nurse,258753,NURSING AND QUALITY,Pay,Nursing,2025-12,,WTE,-0.40,"-£1,751.64",,,Chief Nurse,,Corporate Services,Nursing & Midwifery Staff,Substantive,-0.40,
,Chief Nurse,258753,NURSING AND QUALITY,Pay,Admin & Clerical,2025-12,,WTE,0.00,-£0.06,,,Chief Nurse,,Corporate Services,Admin & Clerical Staff,Bank,0.00,
,Chief Nurse,258754,NON-MEDICAL EDUCATION,Pay,Nursing,2025-12,,WTE,-17.09,"-£88,955.90",,,Chief Nurse,,Corporate Services,Nursing & Midwifery Staff,Substantive,-17.09,
,Chief Nurse,258754,NON-MEDICAL EDUCATION,Pay,Admin & Clerical,2025-12,,WTE,-1.65,"-£4,914.16",,,Chief Nurse,,Corporate Services,Admin & Clerical Staff,Substantive,-1.65,
,Chief Nurse,258754,NON-MEDICAL EDUCATION,Pay,"Scientific, Therapeutic & Tech",2025-12,,WTE,-1.00,"-£6,029.65",,,Chief Nurse,,Corporate Services,"Scientific, Therapeutic & Technical Staff",Substantive,-1.00,
,Chief Nurse,258755,ENHANCED CARE TEAM,Pay,Nursing,2025-12,,WTE,-8.60,"-£31,024.60",,,Chief Nurse,,Corporate Services,Nursing & Midwifery Staff,Substantive,-8.60,
,Integrated Emergency and Medical Pathways,258756,DUTY TEAM,Pay,Nursing,2025-12,,WTE,-19.63,"-£123,557.26",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-19.63,
,Integrated Emergency and Medical Pathways,258756,DUTY TEAM,Pay,Nursing,2025-12,,WTE,-5.06,"-£14,845.05",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-5.06,
