Provider Code,Provider Name,Region Name,Region Code,ICB Code,ICB Name,Acute Status,Activity Month,Moved or Discharged
RTH,Oxford University Hospitals NHS Foundation Trust,South East,Y59,QU9,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,Acute,01/08/2022,1352
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/08/2022,300
RTP,Surrey And Sussex Healthcare NHS Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/08/2022,26
RTR,South Tees Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2022,59
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,North West,Y62,QE1,NHS Lancashire and South Cumbria Integrated Care Board,Acute,01/08/2022,1218
RVJ,North Bristol NHS Trust,South West,Y58,QUY,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,Acute,01/08/2022,1949
RVR,Epsom And St Helier University Hospitals NHS Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/08/2022,824
RVV,East Kent Hospitals University NHS Foundation Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/08/2022,556
RVW,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2022,136
RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Non-Acute,01/08/2022,2769
RWA,Hull University Teaching Hospitals NHS Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/08/2022,255
RWD,United Lincolnshire Hospitals NHS Trust,Midlands,Y60,QJM,NHS Lincolnshire Integrated Care Board,Acute,01/08/2022,339
RWE,University Hospitals of Leicester NHS Trust,Midlands,Y60,QK1,NHS Leicester Leicestershire and Rutland Integrated Care Board,Acute,01/08/2022,1460
RWF,Maidstone And Tunbridge Wells NHS Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/08/2022,658
RWG,West Hertfordshire Teaching Hospitals NHS Trust,East of England,Y61,QM7,NHS Hertfordshire and West Essex Integrated Care Board,Acute,01/08/2022,727
RWH,East And North Hertfordshire NHS Trust,East of England,Y61,QM7,NHS Hertfordshire and West Essex Integrated Care Board,Acute,01/08/2022,411
RWJ,Stockport NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2022,713
RWP,Worcestershire Acute Hospitals NHS Trust,Midlands,Y60,QGH,NHS Herefordshire and Worcestershire Integrated Care Board,Acute,01/08/2022,836
RWW,Warrington And Halton Teaching Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2022,697
RWY,Calderdale And Huddersfield NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/08/2022,1151
RX1,Nottingham University Hospitals NHS Trust,Midlands,Y60,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Acute,01/08/2022,3419
RXC,East Sussex Healthcare NHS Trust,South East,Y59,QNX,NHS Sussex Integrated Care Board,Acute,01/08/2022,1540
RXF,Mid Yorkshire Hospitals NHS Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/08/2022,997
RXK,Sandwell And West Birmingham Hospitals NHS Trust,Midlands,Y60,QUA,NHS Black Country Integrated Care Board,Acute,01/08/2022,96
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,North West,Y62,QE1,NHS Lancashire and South Cumbria Integrated Care Board,Acute,01/08/2022,357
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,North West,Y62,QE1,NHS Lancashire and South Cumbria Integrated Care Board,Acute,01/08/2022,129
RXP,County Durham And Darlington NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2022,511
RXQ,Buckinghamshire Healthcare NHS Trust,South East,Y59,QU9,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,Acute,01/08/2022,550
RXR,East Lancashire Hospitals NHS Trust,North West,Y62,QE1,NHS Lancashire and South Cumbria Integrated Care Board,Acute,01/08/2022,1353
RXW,The Shrewsbury And Telford Hospital NHS Trust,Midlands,Y60,QOC,NHS Shropshire Telford and Wrekin Integrated Care Board,Acute,01/08/2022,690
RYJ,Imperial College Healthcare NHS Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/08/2022,131
