Provider Code,Provider Name,Region Name,Region Code,ICB Code,ICB Name,Acute Status,Activity Month,Moved or Discharged
NQT,HCRG CARE LTD,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Non-Acute,01/08/2021,124
R0A,Manchester University NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2021,716
R0B,South Tyneside And Sunderland NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2021,159
R0D,University Hospitals Dorset NHS Foundation Trust,South West,Y58,QVV,NHS Dorset Integrated Care Board,Acute,01/08/2021,78
R1D,Shropshire Community Health NHS Trust,Midlands,Y60,QOC,NHS Shropshire Telford and Wrekin Integrated Care Board,Non-Acute,01/08/2021,137
R1F,Isle of Wight NHS Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/08/2021,1287
R1H,Barts Health NHS Trust,London,Y56,QMF,NHS North East London Integrated Care Board,Acute,01/08/2021,30
R1K,London North West University Healthcare NHS Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/08/2021,61
RA2,Royal Surrey County Hospital NHS Foundation Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/08/2021,39
RA7,University Hospitals Bristol And Weston NHS Foundation Trust,South West,Y58,QUY,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,Acute,01/08/2021,2398
RAE,Bradford Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/08/2021,188
RAJ,Mid And South Essex NHS Foundation Trust,East of England,Y61,QH8,NHS Mid and South Essex Integrated Care Board,Acute,01/08/2021,50
RAN,Royal National Orthopaedic Hospital NHS Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/08/2021,188
RAS,The Hillingdon Hospitals NHS Foundation Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/08/2021,166
RAX,Kingston and Richmond NHS Foundation Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/08/2021,12
RBD,Dorset County Hospital NHS Foundation Trust,South West,Y58,QVV,NHS Dorset Integrated Care Board,Acute,01/08/2021,0
RBL,Wirral University Teaching Hospital NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,0
RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,5
RBS,Alder Hey Children's NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,0
RBT,Mid Cheshire Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,74
RBV,The Christie NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2021,0
RC9,Bedfordshire Hospitals NHS Foundation Trust,East of England,Y61,QHG,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,Acute,01/08/2021,293
RCB,York And Scarborough Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/08/2021,920
RCF,Airedale NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/08/2021,138
RCU,Sheffield Children's NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/08/2021,1673
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/08/2021,115
RD1,Royal United Hospitals Bath NHS Foundation Trust,South West,Y58,QOX,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,Acute,01/08/2021,573
RD8,Milton Keynes University Hospital NHS Foundation Trust,East of England,Y61,QHG,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,Acute,01/08/2021,16
RDE,East Suffolk And North Essex NHS Foundation Trust,East of England,Y61,QJG,NHS Suffolk and North East Essex Integrated Care Board,Acute,01/08/2021,1399
RDU,Frimley Health NHS Foundation Trust,South East,Y59,QNQ,NHS Frimley Integrated Care Board,Acute,01/08/2021,838
REF,Royal Cornwall Hospitals NHS Trust,South West,Y58,QT6,NHS Cornwall and The Isles Of Scilly Integrated Care Board,Acute,01/08/2021,183
REM,Liverpool University Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,48
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,8
RET,The Walton Centre NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,82
RFF,Barnsley Hospital NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/08/2021,50
RFR,The Rotherham NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/08/2021,41
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Midlands,Y60,QJ2,NHS Derby and Derbyshire Integrated Care Board,Acute,01/08/2021,246
RGM,Royal Papworth Hospital NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/08/2021,2
RGN,North West Anglia NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/08/2021,1190
RGP,James Paget University Hospitals NHS Foundation Trust,East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/08/2021,75
RGT,Cambridge University Hospitals NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/08/2021,840
RH5,Somerset NHS Foundation Trust,South West,Y58,QSL,NHS Somerset Integrated Care Board,Acute,01/08/2021,2929
RH8,Royal Devon University Healthcare NHS Foundation Trust,South West,Y58,QJK,NHS Devon Integrated Care Board,Acute,01/08/2021,2143
RHA,Nottinghamshire Healthcare NHS Foundation Trust,Midlands,Y60,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Non-Acute,01/08/2021,204
RHM,University Hospital Southampton NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/08/2021,396
RHU,Portsmouth Hospitals University National Health Service Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/08/2021,589
RJ1,Guy's And St Thomas' NHS Foundation Trust,London,Y56,QKK,NHS South East London Integrated Care Board,Acute,01/08/2021,1403
RJ2,Lewisham And Greenwich NHS Trust,London,Y56,QKK,NHS South East London Integrated Care Board,Acute,01/08/2021,55
RJ6,Croydon Health Services NHS Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/08/2021,25
RJ7,St George's University Hospitals NHS Foundation Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/08/2021,25
RJC,South Warwickshire NHS Foundation Trust,Midlands,Y60,QWU,NHS Coventry and Warwickshire Integrated Care Board,Acute,01/08/2021,25
RJE,University Hospitals of North Midlands NHS Trust,Midlands,Y60,QNC,NHS Staffordshire and Stoke on Trent Integrated Care Board,Acute,01/08/2021,26
RJL,Northern Lincolnshire And Goole NHS Foundation Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/08/2021,195
RJZ,King's College Hospital NHS Foundation Trust,London,Y56,QKK,NHS South East London Integrated Care Board,Acute,01/08/2021,100
RK5,Sherwood Forest Hospitals NHS Foundation Trust,Midlands,Y60,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Acute,01/08/2021,1225
RK9,University Hospitals Plymouth NHS Trust,South West,Y58,QJK,NHS Devon Integrated Care Board,Acute,01/08/2021,497
RKB,University Hospitals Coventry And Warwickshire NHS Trust,Midlands,Y60,QWU,NHS Coventry and Warwickshire Integrated Care Board,Acute,01/08/2021,21
RKE,Whittington Health NHS Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/08/2021,9
RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Midlands,Y60,QOC,NHS Shropshire Telford and Wrekin Integrated Care Board,Acute,01/08/2021,194
RLT,George Eliot Hospital NHS Trust,Midlands,Y60,QWU,NHS Coventry and Warwickshire Integrated Care Board,Acute,01/08/2021,12
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/08/2021,811
RM3,Northern Care Alliance NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2021,107
RMC,Bolton NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2021,76
RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2021,40
RN5,Hampshire Hospitals NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/08/2021,1228
RN7,Dartford And Gravesham NHS Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/08/2021,46
RNA,The Dudley Group NHS Foundation Trust,Midlands,Y60,QUA,NHS Black Country Integrated Care Board,Acute,01/08/2021,64
RNN,North Cumbria Integrated Care NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2021,70
RNS,Northampton General Hospital NHS Trust,Midlands,Y60,QPM,NHS Northamptonshire Integrated Care Board,Acute,01/08/2021,49
RNZ,Salisbury NHS Foundation Trust,South West,Y58,QOX,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,Acute,01/08/2021,186
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/08/2021,0
RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/08/2021,205
RPA,Medway NHS Foundation Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/08/2021,21
RPC,Queen Victoria Hospital NHS Foundation Trust,South East,Y59,QNX,NHS Sussex Integrated Care Board,Acute,01/08/2021,74
RPY,The Royal Marsden NHS Foundation Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/08/2021,94
RQW,The Princess Alexandra Hospital NHS Trust,East of England,Y61,QM7,NHS Hertfordshire and West Essex Integrated Care Board,Acute,01/08/2021,73
RQX,Homerton University Hospital NHS Foundation Trust,London,Y56,QMF,NHS North East London Integrated Care Board,Acute,01/08/2021,202
RR7,Gateshead Health NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2021,29
RR8,Leeds Teaching Hospitals NHS Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/08/2021,315
RRE,Midlands Partnership NHS Foundation Trust,Midlands,Y60,QNC,NHS Staffordshire and Stoke on Trent Integrated Care Board,Non-Acute,01/08/2021,256
RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2021,168
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2021,0
RTE,Gloucestershire Hospitals NHS Foundation Trust,South West,Y58,QR1,NHS Gloucestershire Integrated Care Board,Acute,01/08/2021,7005
RTF,Northumbria Healthcare NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2021,9
RTG,University Hospitals of Derby And Burton NHS Foundation Trust,Midlands,Y60,QJ2,NHS Derby and Derbyshire Integrated Care Board,Acute,01/08/2021,3683
RTH,Oxford University Hospitals NHS Foundation Trust,South East,Y59,QU9,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,Acute,01/08/2021,889
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/08/2021,1150
RTP,Surrey And Sussex Healthcare NHS Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/08/2021,2
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,North West,Y62,QE1,NHS Lancashire and South Cumbria Integrated Care Board,Acute,01/08/2021,771
RVJ,North Bristol NHS Trust,South West,Y58,QUY,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,Acute,01/08/2021,955
RVR,Epsom And St Helier University Hospitals NHS Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/08/2021,432
RVV,East Kent Hospitals University NHS Foundation Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/08/2021,122
RVW,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2021,9
RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Non-Acute,01/08/2021,1699
RWA,Hull University Teaching Hospitals NHS Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/08/2021,211
RWD,United Lincolnshire Hospitals NHS Trust,Midlands,Y60,QJM,NHS Lincolnshire Integrated Care Board,Acute,01/08/2021,0
RWF,Maidstone And Tunbridge Wells NHS Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/08/2021,53
RWG,West Hertfordshire Teaching Hospitals NHS Trust,East of England,Y61,QM7,NHS Hertfordshire and West Essex Integrated Care Board,Acute,01/08/2021,86
RWH,East And North Hertfordshire NHS Trust,East of England,Y61,QM7,NHS Hertfordshire and West Essex Integrated Care Board,Acute,01/08/2021,121
RWJ,Stockport NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/08/2021,377
RWP,Worcestershire Acute Hospitals NHS Trust,Midlands,Y60,QGH,NHS Herefordshire and Worcestershire Integrated Care Board,Acute,01/08/2021,98
RWW,Warrington And Halton Teaching Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/08/2021,265
RWY,Calderdale And Huddersfield NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/08/2021,347
RX1,Nottingham University Hospitals NHS Trust,Midlands,Y60,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Acute,01/08/2021,3424
RXC,East Sussex Healthcare NHS Trust,South East,Y59,QNX,NHS Sussex Integrated Care Board,Acute,01/08/2021,92
RXF,Mid Yorkshire Hospitals NHS Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/08/2021,15
RXP,County Durham And Darlington NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/08/2021,342
RXQ,Buckinghamshire Healthcare NHS Trust,South East,Y59,QU9,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,Acute,01/08/2021,63
RXR,East Lancashire Hospitals NHS Trust,North West,Y62,QE1,NHS Lancashire and South Cumbria Integrated Care Board,Acute,01/08/2021,750
RXW,The Shrewsbury And Telford Hospital NHS Trust,Midlands,Y60,QOC,NHS Shropshire Telford and Wrekin Integrated Care Board,Acute,01/08/2021,169
RYJ,Imperial College Healthcare NHS Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/08/2021,21
RYR,University Hospitals Sussex NHS Foundation Trust,South East,Y59,QNX,NHS Sussex Integrated Care Board,Acute,01/08/2021,0
NQT,HCRG CARE LTD,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Non-Acute,01/09/2021,162
R0A,Manchester University NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2021,1024
R0B,South Tyneside And Sunderland NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2021,232
R0D,University Hospitals Dorset NHS Foundation Trust,South West,Y58,QVV,NHS Dorset Integrated Care Board,Acute,01/09/2021,814
R1D,Shropshire Community Health NHS Trust,Midlands,Y60,QOC,NHS Shropshire Telford and Wrekin Integrated Care Board,Non-Acute,01/09/2021,166
R1F,Isle of Wight NHS Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2021,1573
R1H,Barts Health NHS Trust,London,Y56,QMF,NHS North East London Integrated Care Board,Acute,01/09/2021,599
R1K,London North West University Healthcare NHS Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/09/2021,125
RA2,Royal Surrey County Hospital NHS Foundation Trust,South East,Y59,QXU,NHS Surrey Heartlands Integrated Care Board,Acute,01/09/2021,38
RA7,University Hospitals Bristol And Weston NHS Foundation Trust,South West,Y58,QUY,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,Acute,01/09/2021,2684
RA9,Torbay And South Devon NHS Foundation Trust,South West,Y58,QJK,NHS Devon Integrated Care Board,Acute,01/09/2021,5
RAE,Bradford Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/09/2021,253
RAJ,Mid And South Essex NHS Foundation Trust,East of England,Y61,QH8,NHS Mid and South Essex Integrated Care Board,Acute,01/09/2021,381
RAN,Royal National Orthopaedic Hospital NHS Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/09/2021,0
RAS,The Hillingdon Hospitals NHS Foundation Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/09/2021,354
RAX,Kingston and Richmond NHS Foundation Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/09/2021,32
RBD,Dorset County Hospital NHS Foundation Trust,South West,Y58,QVV,NHS Dorset Integrated Care Board,Acute,01/09/2021,122
RBL,Wirral University Teaching Hospital NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,39
RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,11
RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,25
RBS,Alder Hey Children's NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,1
RBT,Mid Cheshire Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,113
RBV,The Christie NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2021,0
RC9,Bedfordshire Hospitals NHS Foundation Trust,East of England,Y61,QHG,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,Acute,01/09/2021,755
RCB,York And Scarborough Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/09/2021,1032
RCD,Harrogate And District NHS Foundation Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/09/2021,2
RCF,Airedale NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/09/2021,171
RCU,Sheffield Children's NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2021,1731
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/09/2021,143
RD1,Royal United Hospitals Bath NHS Foundation Trust,South West,Y58,QOX,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,Acute,01/09/2021,645
RD8,Milton Keynes University Hospital NHS Foundation Trust,East of England,Y61,QHG,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,Acute,01/09/2021,22
RDE,East Suffolk And North Essex NHS Foundation Trust,East of England,Y61,QJG,NHS Suffolk and North East Essex Integrated Care Board,Acute,01/09/2021,1630
RDU,Frimley Health NHS Foundation Trust,South East,Y59,QNQ,NHS Frimley Integrated Care Board,Acute,01/09/2021,1112
REF,Royal Cornwall Hospitals NHS Trust,South West,Y58,QT6,NHS Cornwall and The Isles Of Scilly Integrated Care Board,Acute,01/09/2021,207
REM,Liverpool University Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,112
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,14
REP,Liverpool Women's NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,3
RET,The Walton Centre NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,119
RFF,Barnsley Hospital NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2021,48
RFR,The Rotherham NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2021,26
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Midlands,Y60,QJ2,NHS Derby and Derbyshire Integrated Care Board,Acute,01/09/2021,306
RGM,Royal Papworth Hospital NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/09/2021,5
RGN,North West Anglia NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/09/2021,1431
RGP,James Paget University Hospitals NHS Foundation Trust,East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/09/2021,179
RGR,West Suffolk NHS Foundation Trust,East of England,Y61,QJG,NHS Suffolk and North East Essex Integrated Care Board,Acute,01/09/2021,240
RGT,Cambridge University Hospitals NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/09/2021,956
RH5,Somerset NHS Foundation Trust,South West,Y58,QSL,NHS Somerset Integrated Care Board,Acute,01/09/2021,3675
RH8,Royal Devon University Healthcare NHS Foundation Trust,South West,Y58,QJK,NHS Devon Integrated Care Board,Acute,01/09/2021,2283
RHA,Nottinghamshire Healthcare NHS Foundation Trust,Midlands,Y60,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Non-Acute,01/09/2021,243
RHM,University Hospital Southampton NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2021,562
RHU,Portsmouth Hospitals University National Health Service Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2021,1122
RHW,Royal Berkshire NHS Foundation Trust,South East,Y59,QU9,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,Acute,01/09/2021,104
RJ1,Guy's And St Thomas' NHS Foundation Trust,London,Y56,QKK,NHS South East London Integrated Care Board,Acute,01/09/2021,1694
RJ2,Lewisham And Greenwich NHS Trust,London,Y56,QKK,NHS South East London Integrated Care Board,Acute,01/09/2021,67
RJ6,Croydon Health Services NHS Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/09/2021,30
RJ7,St George's University Hospitals NHS Foundation Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/09/2021,65
RJC,South Warwickshire NHS Foundation Trust,Midlands,Y60,QWU,NHS Coventry and Warwickshire Integrated Care Board,Acute,01/09/2021,8
RJE,University Hospitals of North Midlands NHS Trust,Midlands,Y60,QNC,NHS Staffordshire and Stoke on Trent Integrated Care Board,Acute,01/09/2021,61
RJL,Northern Lincolnshire And Goole NHS Foundation Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/09/2021,334
RJN,East Cheshire NHS Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2021,1
RJZ,King's College Hospital NHS Foundation Trust,London,Y56,QKK,NHS South East London Integrated Care Board,Acute,01/09/2021,100
RK5,Sherwood Forest Hospitals NHS Foundation Trust,Midlands,Y60,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Acute,01/09/2021,1393
RK9,University Hospitals Plymouth NHS Trust,South West,Y58,QJK,NHS Devon Integrated Care Board,Acute,01/09/2021,598
RKB,University Hospitals Coventry And Warwickshire NHS Trust,Midlands,Y60,QWU,NHS Coventry and Warwickshire Integrated Care Board,Acute,01/09/2021,106
RKE,Whittington Health NHS Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/09/2021,22
RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Midlands,Y60,QOC,NHS Shropshire Telford and Wrekin Integrated Care Board,Acute,01/09/2021,232
RL4,The Royal Wolverhampton NHS Trust,Midlands,Y60,QUA,NHS Black Country Integrated Care Board,Acute,01/09/2021,13
RLQ,Wye Valley NHS Trust,Midlands,Y60,QGH,NHS Herefordshire and Worcestershire Integrated Care Board,Acute,01/09/2021,0
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/09/2021,884
RM3,Northern Care Alliance NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2021,180
RMC,Bolton NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2021,66
RN5,Hampshire Hospitals NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2021,1464
RN7,Dartford And Gravesham NHS Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/09/2021,283
RNA,The Dudley Group NHS Foundation Trust,Midlands,Y60,QUA,NHS Black Country Integrated Care Board,Acute,01/09/2021,86
RNN,North Cumbria Integrated Care NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2021,66
RNQ,Kettering General Hospital NHS Foundation Trust,Midlands,Y60,QPM,NHS Northamptonshire Integrated Care Board,Acute,01/09/2021,116
RNS,Northampton General Hospital NHS Trust,Midlands,Y60,QPM,NHS Northamptonshire Integrated Care Board,Acute,01/09/2021,82
RNZ,Salisbury NHS Foundation Trust,South West,Y58,QOX,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,Acute,01/09/2021,257
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/09/2021,0
RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2021,214
RPA,Medway NHS Foundation Trust,South East,Y59,QKS,NHS Kent and Medway Integrated Care Board,Acute,01/09/2021,40
RPC,Queen Victoria Hospital NHS Foundation Trust,South East,Y59,QNX,NHS Sussex Integrated Care Board,Acute,01/09/2021,17
